Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42909.47678,51.00312499,42909.47679,0.18749944,42909.47678,0
42909.47679,51.00624998,42909.47681,0,42909.47679,45.72353398
42909.47681,51.00624998,42909.47682,0,42909.47681,46.80788656
42909.47682,51.00624998,42909.47683,0,42909.47682,45.18135768
42909.47683,51.00624998,42909.47684,0,42909.47683,46.08498484
42909.47684,51.00624998,42909.47685,0,42909.47684,45.72353398
42909.47685,51.00624998,42909.47686,0,42909.47685,47.16933742
42909.47686,51.00624998,42909.47688,0,42909.47686,47.89223915
42909.47688,51.00624998,42909.47689,0,42909.47688,46.08498484
42909.47689,51.00624998,42909.4769,0,42909.47689,45.18135768
42909.4769,51.00624998,42909.47691,0,42909.4769,46.62716113
42909.47691,51.00624998,42909.47692,0,42909.47691,45.72353398
42909.47692,51.00624998,42909.47693,0,42909.47692,45.90425941
42909.47693,51.00624998,42909.47694,0,42909.47693,46.62716113
42909.47694,51.00624998,42909.47696,0,42909.47694,46.4464357
42909.47696,51.00624998,42909.47697,0,42909.47696,46.4464357
42909.47697,51.00624998,42909.47698,0,42909.47697,45.18135768
42909.47698,51.00624998,42909.47699,0,42909.47698,46.4464357
42909.47699,51.00624998,42909.477,0,42909.47699,46.4464357
42909.477,51.00624998,42909.47701,0,42909.477,46.4464357
42909.47701,51.00624998,42909.47703,0,42909.47701,46.80788656
42909.47703,51.00624998,42909.47704,0,42909.47703,46.62716113
42909.47704,51.00624998,42909.47705,0,42909.47704,45.72353398
42909.47705,51.00624998,42909.47706,0,42909.47705,45.00063225
42909.47706,51.00624998,42909.47707,0,42909.47706,47.16933742
42909.47707,51.00624998,42909.47708,0,42909.47707,45.90425941
42909.47708,51.00624998,42909.47709,0,42909.47708,45.72353398
42909.47709,51.00624998,42909.47711,0,42909.47709,46.4464357
42909.47711,51.00624998,42909.47712,0,42909.47711,46.4464357
42909.47712,51.00624998,42909.47713,0,42909.47712,46.4464357
42909.47713,51.00624998,42909.47714,0,42909.47713,46.4464357
42909.47714,51.00624998,42909.47715,0,42909.47714,46.08498484
42909.47715,51.00624998,42909.47716,0,42909.47715,46.4464357
42909.47716,51.00624998,42909.47718,0,42909.47716,45.36208312
42909.47718,51.00624998,42909.47719,0,42909.47718,45.18135768
42909.47719,51.00624998,42909.4772,0,42909.47719,47.53078828
42909.4772,51.00624998,42909.47721,0,42909.4772,46.4464357
42909.47721,51.00624998,42909.47722,0,42909.47721,47.35006285
42909.47722,51.00624998,42909.47723,0,42909.47722,47.16933742
42909.47723,51.00624998,42909.47725,0,42909.47723,45.90425941
42909.47725,51.00624998,42909.47726,0,42909.47725,46.4464357
42909.47726,51.00624998,42909.47727,0,42909.47726,46.08498484
42909.47727,51.00624998,42909.47728,0,42909.47727,46.08498484
42909.47728,51.00624998,42909.47729,0,42909.47728,47.35006285
42909.47729,51.00624998,42909.4773,0,42909.47729,48.61514087
42909.4773,51.00624998,42909.47731,0,42909.4773,48.97659173
42909.47731,51.00624998,42909.47733,0,42909.47731,46.80788656
42909.47733,51.00624998,42909.47734,0,42909.47733,46.4464357
42909.47734,51.00624998,42909.47735,0,42909.47734,47.16933742
42909.47735,51.00624998,42909.47736,0,42909.47735,44.27773053
42909.47736,51.00624998,42909.47737,0,42909.47736,46.62716113
42909.47737,51.00624998,42909.47738,0,42909.47737,46.80788656
42909.47738,51.00624998,42909.4774,0,42909.47738,46.80788656
42909.4774,51.00624998,42909.47741,0,42909.4774,47.16933742
42909.47741,51.00624998,42909.47742,0,42909.47741,46.08498484
42909.47742,51.00624998,42909.47743,0,42909.47742,47.35006285
42909.47743,51.00624998,42909.47744,0,42909.47743,44.45845596
42909.47744,51.00624998,42909.47745,0,42909.47744,44.27773053
42909.47745,51.00624998,42909.47747,0.18749935,42909.47745,46.80788656
42909.47747,51.00937497,42909.47748,18.37494945,42909.47747,42.65120165
42909.47748,51.31562398,42909.47749,25.87491032,42909.47748,42.65120165
42909.47749,51.74687259,42909.4775,5.999979204,42909.47749,55.8441581
42909.4775,51.84687227,42909.47751,8.249975339,42909.4775,52.22964948
42909.47751,51.98437182,42909.47752,24.93741357,42909.47751,44.0970051
42909.47752,52.39999548,42909.47753,27.93742315,42909.47752,45.00063225
42909.47753,52.86561898,42909.47755,30.37489472,42909.47753,40.66322192
42909.47755,53.37186734,42909.47756,22.49992201,42909.47755,40.84394735
42909.47756,53.74686613,42909.47757,9.187474727,42909.47756,48.97659173
42909.47757,53.89999064,42909.47758,9.937465556,42909.47757,43.01265252
42909.47758,54.06561511,42909.47759,20.81242786,42909.47758,42.28975079
42909.47759,54.41248899,42909.4776,21.37493611,42909.47759,45.90425941
42909.4776,54.76873784,42909.47762,19.49993241,42909.4776,43.37410338
42909.47762,55.09373679,42909.47763,17.812451,42909.47762,43.55482881
42909.47763,55.39061083,42909.47764,12.18745776,42909.47763,45.18135768
42909.47764,55.59373517,42909.47765,18.93743436,42909.47764,44.63918139
42909.47765,55.90935915,42909.47766,15.37495771,42909.47765,40.66322192
42909.47766,56.16560833,42909.47767,13.31245386,42909.47766,46.62716113
42909.47767,56.38748261,42909.47769,20.62492851,42909.47767,41.38612364
42909.47769,56.7312315,42909.4777,9.187472537,42909.47769,44.27773053
42909.4777,56.88435601,42909.47771,0,42909.4777,48.97659173
42909.47771,56.88435601,42909.47772,0,42909.47771,53.13327664
42909.47772,56.88435601,42909.47773,-4.312487109,42909.47772,60.36229387
42909.47773,56.81248124,42909.47774,-9.749966206,42909.47773,57.47068697
42909.47774,56.64998176,42909.47775,-12.93746441,42909.47774,58.73576499
42909.47775,56.43435746,42909.47777,-13.49995321,42909.47775,58.73576499
42909.47777,56.20935819,42909.47778,-9.562466856,42909.47777,60.18156844
42909.47778,56.0499837,42909.47779,-6.749981432,42909.47778,58.37431413
42909.47779,55.93748406,42909.4778,-4.687483753,42909.47779,57.28996154
42909.4778,55.85935932,42909.47781,0,42909.4778,58.91649042
42909.47781,55.85935932,42909.47782,0,42909.47781,51.1452969
