Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42891.49072,-3.3,42891.49073,0,42891.49072,17.39005736
42891.49073,-3.3,42891.49074,0,42891.49073,18.41300191
42891.49074,-3.3,42891.49075,0,42891.49074,20.45889101
42891.49075,-3.3,42891.49076,0,42891.49075,16.36711281
42891.49076,-3.3,42891.49078,0,42891.49076,21.48183556
42891.49078,-3.3,42891.49079,0,42891.49078,18.41300191
42891.49079,-3.3,42891.4908,0,42891.49079,12.27533461
42891.4908,-3.3,42891.49081,0,42891.4908,22.50478011
42891.49081,-3.3,42891.49082,0,42891.49081,21.48183556
42891.49082,-3.3,42891.49083,0,42891.49082,24.55066922
42891.49083,-3.3,42891.49084,0,42891.49083,16.36711281
42891.49084,-3.3,42891.49086,0,42891.49084,21.48183556
42891.49086,-3.3,42891.49087,0,42891.49086,22.50478011
42891.49087,-3.3,42891.49088,0,42891.49087,21.48183556
42891.49088,-3.3,42891.49089,0,42891.49088,21.48183556
42891.49089,-3.3,42891.4909,0.003256127,42891.49089,20.45889101
42891.4909,-3.296743873,42891.49091,0.006512258,42891.4909,17.39005736
42891.49091,-3.290231618,42891.49093,0,42891.49091,21.48183556
42891.49093,-3.290231618,42891.49094,0,42891.49093,12.27533461
42891.49094,-3.290231618,42891.49095,0,42891.49094,22.50478011
42891.49095,-3.290231618,42891.49096,0,42891.49095,20.45889101
42891.49096,-3.290231618,42891.49097,-0.032561288,42891.49096,16.36711281
42891.49097,-3.322792891,42891.49098,-0.035817392,42891.49097,22.50478011
42891.49098,-3.358610291,42891.491,-0.006512253,42891.49098,18.41300191
42891.491,-3.365122546,42891.49101,0,42891.491,17.39005736
42891.49101,-3.365122546,42891.49102,0,42891.49101,17.39005736
42891.49102,-3.365122546,42891.49103,-0.078147036,42891.49102,25.57361377
42891.49103,-3.4432696,42891.49104,-0.126989024,42891.49103,21.48183556
42891.49104,-3.570258564,42891.49105,-0.110708301,42891.49104,21.48183556
42891.49105,-3.680966892,42891.49106,-0.104196098,42891.49105,24.55066922
42891.49106,-3.785162965,42891.49108,-0.097683795,42891.49106,28.64244742
42891.49108,-3.882846783,42891.49109,-0.136757313,42891.49108,28.64244742
42891.49109,-4.019604129,42891.4911,-0.149781926,42891.49109,58.30783939
42891.4911,-4.169385983,42891.49111,-0.081403163,42891.4911,60.35372849
42891.49111,-4.250789165,42891.49112,-0.113964428,42891.49111,60.35372849
42891.49112,-4.36475362,42891.49113,-0.107452251,42891.49112,80.8126195
42891.49113,-4.47220582,42891.49115,-0.104196048,42891.49113,76.7208413
42891.49115,-4.576401893,42891.49116,-0.104196098,42891.49115,87.97323136
42891.49116,-4.680597966,42891.49117,-0.110708301,42891.49116,62.39961759
42891.49117,-4.791306294,42891.49118,-0.110708301,42891.49117,33.75717017
42891.49118,-4.902014621,42891.49119,-0.016280644,42891.49118,45.00956023
42891.49119,-4.918295258,42891.4912,-0.06512253,42891.49119,51.14722753
42891.4912,-4.983417803,42891.49122,-0.094427669,42891.4912,86.95028681
42891.49122,-5.077845494,42891.49123,-0.016280644,42891.49122,206.6347992
42891.49123,-5.094126131,42891.49124,-0.078147036,42891.49123,288.4703633
42891.49124,-5.172273185,42891.49125,-0.019536759,42891.49124,450.0956023
42891.49125,-5.191809949,42891.49126,-0.065122561,42891.49125,474.6462715
42891.49126,-5.256932495,42891.49127,-0.055354151,42891.49126,500.2198853
42891.49127,-5.312286658,42891.49128,-0.052098061,42891.49127,504.3116635
42891.49128,-5.364384695,42891.4913,-0.019536759,42891.49128,520.6787763
42891.4913,-5.383921458,42891.49131,0,42891.4913,463.3938815
42891.49131,-5.383921458,42891.49132,-0.042329675,42891.49131,461.3479924
42891.49132,-5.426251113,42891.49133,-0.087915416,42891.49132,498.1739962
42891.49133,-5.51416655,42891.49134,-0.058610277,42891.49133,515.5640535
42891.49134,-5.572776841,42891.49135,0,42891.49134,485.8986616
42891.49135,-5.572776841,42891.49137,0,42891.49135,492.0363289
42891.49137,-5.572776841,42891.49138,0,42891.49137,475.6692161
42891.49138,-5.572776841,42891.49139,0,42891.49138,471.5774379
42891.49139,-5.572776841,42891.4914,0,42891.49139,471.5774379
42891.4914,-5.572776841,42891.49141,-0.003256129,42891.4914,516.5869981
42891.49141,-5.576032968,42891.49142,0,42891.49141,479.7609943
42891.49142,-5.576032968,42891.49144,0,42891.49142,491.0133843
42891.49144,-5.576032968,42891.49145,0,42891.49144,500.2198853
42891.49145,-5.576032968,42891.49146,0,42891.49145,478.7380497
42891.49146,-5.576032968,42891.49147,0,42891.49146,452.1414914
42891.49147,-5.576032968,42891.49148,0,42891.49147,456.2332696
42891.49148,-5.576032968,42891.49149,0,42891.49148,470.5544933
42891.49149,-5.576032968,42891.4915,0,42891.49149,461.3479924
42891.4915,-5.576032968,42891.49152,0,42891.4915,487.9445507
42891.49152,-5.576032968,42891.49153,0,42891.49152,478.7380497
42891.49153,-5.576032968,42891.49154,0,42891.49153,448.0497132
42891.49154,-5.576032968,42891.49155,0,42891.49154,458.2791587
42891.49155,-5.576032968,42891.49156,0,42891.49155,465.4397706
42891.49156,-5.576032968,42891.49157,0,42891.49156,478.7380497
42891.49157,-5.576032968,42891.49159,0,42891.49157,458.2791587
42891.49159,-5.576032968,42891.4916,0,42891.49159,471.5774379
42891.4916,-5.576032968,42891.49161,0,42891.4916,469.5315488
42891.49161,-5.576032968,42891.49162,0,42891.49161,416.3384321
42891.49162,-5.576032968,42891.49163,0,42891.49162,425.5449331
42891.49163,-5.576032968,42891.49164,0,42891.49163,453.1644359
42891.49164,-5.576032968,42891.49166,0,42891.49164,446.0038241
42891.49166,-5.576032968,42891.49167,0,42891.49166,437.8202677
42891.49167,-5.576032968,42891.49168,0,42891.49167,456.2332696
42891.49168,-5.576032968,42891.49169,0,42891.49168,450.0956023
42891.49169,-5.576032968,42891.4917,0,42891.49169,446.0038241
42891.4917,-5.576032968,42891.49171,0,42891.4917,448.0497132
42891.49171,-5.576032968,42891.49172,0,42891.49171,440.8891013
42891.49172,-5.576032968,42891.49174,0,42891.49172,436.7973231
42891.49174,-5.576032968,42891.49175,0,42891.49174,431.6826004
42891.49175,-5.576032968,42891.49176,0,42891.49175,440.8891013
42891.49176,-5.576032968,42891.49177,0,42891.49176,435.7743786
42891.49177,-5.576032968,42891.49178,0,42891.49177,429.6367113
42891.49178,-5.576032968,42891.49179,0,42891.49178,456.2332696
42891.49179,-5.576032968,42891.49181,0,42891.49179,454.1873805
42891.49181,-5.576032968,42891.49182,0,42891.49181,429.6367113
42891.49182,-5.576032968,42891.49183,0,42891.49182,444.9808795
42891.49183,-5.576032968,42891.49184,0,42891.49183,449.0726577
42891.49184,-5.576032968,42891.49185,0,42891.49184,432.7055449
42891.49185,-5.576032968,42891.49186,0,42891.49185,444.9808795
42891.49186,-5.576032968,42891.49188,0,42891.49186,467.4856597
42891.49188,-5.576032968,42891.49189,0,42891.49188,440.8891013
42891.49189,-5.576032968,42891.4919,0,42891.49189,429.6367113
42891.4919,-5.576032968,42891.49191,0.026049031,42891.4919,452.1414914
42891.49191,-5.54998395,42891.49192,0.06512253,42891.49191,202.543021
42891.49192,-5.484861404,42891.49193,0,42891.49192,71.60611855
42891.49193,-5.484861404,42891.49194,0,42891.49193,161.625239
42891.49194,-5.484861404,42891.49196,0.013024509,42891.49194,153.4416826
42891.49196,-5.471836895,42891.49197,0.074890945,42891.49196,127.8680688
42891.49197,-5.396945968,42891.49198,0.078147036,42891.49197,160.6022945
42891.49198,-5.318798913,42891.49199,0.133501187,42891.49198,128.8910134
42891.49199,-5.185297694,42891.492,0.153038055,42891.49199,148.3269598
42891.492,-5.032259712,42891.49201,0.192111464,42891.492,149.3499044
42891.49201,-4.840148203,42891.49203,0.211648223,42891.49201,170.83174
42891.49203,-4.62849993,42891.49204,0.198623859,42891.49203,187.1988528
42891.49204,-4.429876166,42891.49205,0.224672729,42891.49204,183.1070746
42891.49205,-4.205203383,42891.49206,0.146525762,42891.49205,174.9235182
42891.49206,-4.058677656,42891.49207,0,42891.49206,228.1166348
42891.49207,-4.058677656,42891.49208,0,42891.49207,273.126195
42891.49208,-4.058677656,42891.49209,0,42891.49208,276.1950287
42891.49209,-4.058677656,42891.49211,0,42891.49209,274.1491396
42891.49211,-4.058677656,42891.49212,0,42891.49211,288.4703633
42891.49212,-4.058677656,42891.49213,0,42891.49212,277.2179732
42891.49213,-4.058677656,42891.49214,0,42891.49213,276.1950287
42891.49214,-4.058677656,42891.49215,0,42891.49214,280.2868069
42891.49215,-4.058677656,42891.49216,0,42891.49215,268.0114723
42891.49216,-4.058677656,42891.49218,0,42891.49216,268.0114723
42891.49218,-4.058677656,42891.49219,0,42891.49218,278.2409178
42891.49219,-4.058677656,42891.4922,0,42891.49219,272.1032505
42891.4922,-4.058677656,42891.49221,0,42891.4922,270.0573614
42891.49221,-4.058677656,42891.49222,0,42891.49221,270.0573614
42891.49222,-4.058677656,42891.49223,0,42891.49222,274.1491396
42891.49223,-4.058677656,42891.49225,0,42891.49223,281.3097514
42891.49225,-4.058677656,42891.49226,0,42891.49225,273.126195
42891.49226,-4.058677656,42891.49227,0,42891.49226,284.3785851
42891.49227,-4.058677656,42891.49228,0.094427736,42891.49227,276.1950287
42891.49228,-3.964249965,42891.49229,0.107452175,42891.49228,152.418738
42891.49229,-3.856797765,42891.4923,0.052098024,42891.49229,186.1759082
42891.4923,-3.804699728,42891.49231,0.071634834,42891.4923,168.7858509
42891.49231,-3.733064928,42891.49233,0.07489091,42891.49231,183.1070746
42891.49233,-3.658174001,42891.49234,0.026049012,42891.49233,177.9923518
42891.49234,-3.632124982,42891.49235,0.022792896,42891.49234,435.7743786
42891.49235,-3.609332091,42891.49236,0.100939922,42891.49235,471.5774379
42891.49236,-3.508392146,42891.49237,0.179087086,42891.49236,458.2791587
42891.49237,-3.329305146,42891.49238,0.224672729,42891.49237,191.290631
42891.49238,-3.104632363,42891.4924,0.234441108,42891.49238,211.749522
42891.4924,-2.870191199,42891.49241,0.25072192,42891.4924,186.1759082
42891.49241,-2.619469399,42891.49242,0.237697235,42891.49241,213.7954111
42891.49242,-2.381772107,42891.49243,0.253977867,42891.49242,158.5564054
42891.49243,-2.12779418,42891.49244,0.19536773,42891.49243,203.5659656
42891.49244,-1.932426543,42891.49245,0.039073518,42891.49244,351.8929254
42891.49245,-1.893353016,42891.49247,0.175830915,42891.49245,376.4435946
42891.49247,-1.717522143,42891.49248,0.192111464,42891.49247,197.4282983
42891.49248,-1.525410633,42891.49249,0.032561265,42891.49248,182.08413
42891.49249,-1.49284936,42891.4925,0,42891.49249,297.6768642
42891.4925,-1.49284936,42891.49251,0,42891.4925,318.1357553
42891.49251,-1.49284936,42891.49252,0,42891.49251,298.6998088
42891.49252,-1.49284936,42891.49253,0,42891.49252,296.6539197
42891.49253,-1.49284936,42891.49255,0,42891.49253,273.126195
42891.49255,-1.49284936,42891.49256,0,42891.49255,278.2409178
42891.49256,-1.49284936,42891.49257,0,42891.49256,306.8833652
42891.49257,-1.49284936,42891.49258,0,42891.49257,296.6539197
42891.49258,-1.49284936,42891.49259,0,42891.49258,305.8604207
42891.49259,-1.49284936,42891.4926,0,42891.49259,298.6998088
42891.4926,-1.49284936,42891.49262,0,42891.4926,293.585086
42891.49262,-1.49284936,42891.49263,0,42891.49262,270.0573614
42891.49263,-1.49284936,42891.49264,0,42891.49263,261.873805
42891.49264,-1.49284936,42891.49265,0,42891.49264,284.3785851
42891.49265,-1.49284936,42891.49266,0,42891.49265,292.5621415
42891.49266,-1.49284936,42891.49267,0,42891.49266,302.791587
42891.49267,-1.49284936,42891.49269,0,42891.49267,297.6768642
42891.49269,-1.49284936,42891.4927,0,42891.49269,282.332696
42891.4927,-1.49284936,42891.49271,0,42891.4927,277.2179732
42891.49271,-1.49284936,42891.49272,0,42891.49271,264.9426386
42891.49272,-1.49284936,42891.49273,0,42891.49272,282.332696
42891.49273,-1.49284936,42891.49274,0,42891.49273,293.585086
42891.49274,-1.49284936,42891.49275,0,42891.49274,282.332696
42891.49275,-1.49284936,42891.49277,0,42891.49275,306.8833652
42891.49277,-1.49284936,42891.49278,0.003256129,42891.49277,290.5162524
42891.49278,-1.489593233,42891.49279,0.07489091,42891.49278,268.0114723
42891.49279,-1.414702306,42891.4928,0.188855337,42891.49279,160.6022945
42891.4928,-1.225846923,42891.49281,0.240953534,42891.4928,154.4646272
42891.49281,-0.984893505,42891.49282,0.267002373,42891.49281,156.5105163
42891.49282,-0.717891068,42891.49284,0.247465614,42891.49282,254.7131931
42891.49284,-0.470425395,42891.49285,0.257234116,42891.49284,202.543021
42891.49285,-0.21319134,42891.49286,0.26374631,42891.49285,183.1070746
42891.49286,0.05055497,42891.49287,0.283283141,42891.49286,186.1759082
42891.49287,0.333838043,42891.49288,0.299563638,42891.49287,201.5200765
42891.49288,0.633401753,42891.49289,0.273514626,42891.49288,214.8183556
42891.49289,0.906916444,42891.49291,0.293051595,42891.49289,230.1625239
42891.49291,1.199967899,42891.49292,0.280026879,42891.49291,228.1166348
42891.49292,1.479994845,42891.49293,0.338637156,42891.49292,207.6577438
42891.49293,1.818632082,42891.49294,0.371198687,42891.49293,199.4741874
42891.49294,2.189830592,42891.49295,0.397247433,42891.49294,203.5659656
42891.49295,2.58707812,42891.49296,0.380966982,42891.49295,193.3365201
42891.49296,2.968045012,42891.49297,0.384222927,42891.49296,186.1759082
42891.49297,3.35226803,42891.49299,0.439577078,42891.49297,198.4512428
42891.49299,3.791845213,42891.493,0.436321263,42891.49299,210.7265774
42891.493,4.228166268,42891.49301,0.276770753,42891.493,195.3824092
42891.49301,4.504937087,42891.49302,0.013024506,42891.49301,479.7609943
42891.49302,4.517961596,42891.49303,0,42891.49302,345.7552581
42891.49303,4.517961596,42891.49304,0,42891.49303,274.1491396
42891.49304,4.517961596,42891.49306,0,42891.49304,228.1166348
42891.49306,4.517961596,42891.49307,0,42891.49306,325.2963671
42891.49307,4.517961596,42891.49308,0,42891.49307,309.9521989
42891.49308,4.517961596,42891.49309,0,42891.49308,278.2409178
42891.49309,4.517961596,42891.4931,0,42891.49309,270.0573614
42891.4931,4.517961596,42891.49311,0,42891.4931,270.0573614
42891.49311,4.517961596,42891.49313,0,42891.49311,285.4015296
42891.49313,4.517961596,42891.49314,0,42891.49313,302.791587
42891.49314,4.517961596,42891.49315,0,42891.49314,293.585086
42891.49315,4.517961596,42891.49316,0,42891.49315,290.5162524
42891.49316,4.517961596,42891.49317,0,42891.49316,285.4015296
42891.49317,4.517961596,42891.49318,0,42891.49317,276.1950287
42891.49318,4.517961596,42891.49319,0,42891.49318,289.4933078
42891.49319,4.517961596,42891.49321,0,42891.49319,281.3097514
42891.49321,4.517961596,42891.49322,0,42891.49321,293.585086
42891.49322,4.517961596,42891.49323,0,42891.49322,288.4703633
42891.49323,4.517961596,42891.49324,0,42891.49323,282.332696
42891.49324,4.517961596,42891.49325,0,42891.49324,289.4933078
42891.49325,4.517961596,42891.49326,0,42891.49325,281.3097514
42891.49326,4.517961596,42891.49328,0,42891.49326,294.6080306
42891.49328,4.517961596,42891.49329,0,42891.49328,304.8374761
42891.49329,4.517961596,42891.4933,0,42891.49329,297.6768642
42891.4933,4.517961596,42891.49331,0,42891.4933,277.2179732
42891.49331,4.517961596,42891.49332,0,42891.49331,278.2409178
42891.49332,4.517961596,42891.49333,0,42891.49332,270.0573614
42891.49333,4.517961596,42891.49334,0,42891.49333,288.4703633
42891.49334,4.517961596,42891.49336,0,42891.49334,278.2409178
42891.49336,4.517961596,42891.49337,0,42891.49336,280.2868069
42891.49337,4.517961596,42891.49338,0,42891.49337,277.2179732
42891.49338,4.517961596,42891.49339,0,42891.49338,273.126195
42891.49339,4.517961596,42891.4934,0,42891.49339,272.1032505
42891.4934,4.517961596,42891.49341,0,42891.4934,298.6998088
42891.49341,4.517961596,42891.49343,0,42891.49341,296.6539197
42891.49343,4.517961596,42891.49344,0,42891.49343,305.8604207
42891.49344,4.517961596,42891.49345,0,42891.49344,282.332696
42891.49345,4.517961596,42891.49346,0,42891.49345,278.2409178
42891.49346,4.517961596,42891.49347,0,42891.49346,285.4015296
42891.49347,4.517961596,42891.49348,0,42891.49347,305.8604207
42891.49348,4.517961596,42891.4935,0,42891.49348,309.9521989
42891.4935,4.517961596,42891.49351,0,42891.4935,309.9521989
42891.49351,4.517961596,42891.49352,0,42891.49351,281.3097514
42891.49352,4.517961596,42891.49353,0,42891.49352,281.3097514
42891.49353,4.517961596,42891.49354,0,42891.49353,281.3097514
42891.49354,4.517961596,42891.49355,0,42891.49354,286.4244742
42891.49355,4.517961596,42891.49356,0,42891.49355,293.585086
42891.49356,4.517961596,42891.49358,0,42891.49356,302.791587
42891.49358,4.517961596,42891.49359,0,42891.49358,281.3097514
42891.49359,4.517961596,42891.4936,0,42891.49359,286.4244742
42891.4936,4.517961596,42891.49361,0,42891.4936,285.4015296
42891.49361,4.517961596,42891.49362,0,42891.49361,285.4015296
42891.49362,4.517961596,42891.49363,0,42891.49362,300.7456979
42891.49363,4.517961596,42891.49365,0,42891.49363,278.2409178
